student_id,archetype
S0001,stable
S0002,care_gap
S0003,stable
S0004,noisy_false_flag_bait
S0005,stable
S0006,improving
S0007,care_gap
S0008,disconnecting
S0009,disconnecting
S0010,disconnecting
S0011,stable
S0012,noisy_false_flag_bait
S0013,improving
S0014,stable
S0015,stable
S0016,disconnecting
S0017,disconnecting
S0018,stable
S0019,noisy_false_flag_bait
S0020,care_gap
S0021,stable
S0022,stable
S0023,dropped_course
S0024,stable
S0025,improving
S0026,stable
S0027,care_gap
S0028,care_gap
S0029,stable
S0030,stable
S0031,stable
S0032,disconnecting
S0033,disconnecting
S0034,noisy_false_flag_bait
S0035,care_gap
S0036,care_gap
S0037,stable
S0038,stable
S0039,noisy_false_flag_bait
S0040,stable
S0041,improving
S0042,stable
S0043,disconnecting
S0044,disconnecting
S0045,stable
S0046,stable
S0047,stable
S0048,noisy_false_flag_bait
S0049,stable
S0050,stable
S0051,noisy_false_flag_bait
S0052,care_gap
S0053,stable
S0054,stable
S0055,stable
S0056,disconnecting
S0057,care_gap
S0058,stable
S0059,stable
S0060,disconnecting
S0061,care_gap
S0062,stable
S0063,stable
S0064,stable
S0065,improving
S0066,stable
S0067,care_gap
S0068,stable
S0069,stable
S0070,stable
S0071,stable
S0072,stable
S0073,noisy_false_flag_bait
S0074,stable
S0075,stable
S0076,stable
S0077,stable
S0078,stable
S0079,stable
S0080,noisy_false_flag_bait
S0081,care_gap
S0082,disconnecting
S0083,stable
S0084,improving
S0085,disconnecting
S0086,stable
S0087,disconnecting
S0088,stable
S0089,dropped_course
S0090,stable
S0091,disconnecting
S0092,stable
S0093,stable
S0094,stable
S0095,stable
S0096,improving
S0097,stable
S0098,disconnecting
S0099,disconnecting
S0100,dropped_course
S0101,stable
S0102,stable
S0103,care_gap
S0104,stable
S0105,stable
S0106,stable
S0107,disconnecting
S0108,care_gap
S0109,disconnecting
S0110,noisy_false_flag_bait
S0111,disconnecting
S0112,disconnecting
S0113,stable
S0114,dropped_course
S0115,dropped_course
S0116,disconnecting
S0117,noisy_false_flag_bait
S0118,dropped_course
S0119,noisy_false_flag_bait
S0120,improving
S0121,care_gap
S0122,care_gap
S0123,stable
S0124,stable
S0125,stable
S0126,stable
S0127,stable
S0128,stable
S0129,noisy_false_flag_bait
S0130,disconnecting
S0131,dropped_course
S0132,stable
S0133,stable
S0134,care_gap
S0135,disconnecting
S0136,stable
S0137,stable
S0138,stable
S0139,stable
S0140,disconnecting
S0141,care_gap
S0142,disconnecting
S0143,care_gap
S0144,stable
S0145,disconnecting
S0146,stable
S0147,stable
S0148,care_gap
S0149,stable
S0150,stable
S0151,disconnecting
S0152,stable
S0153,disconnecting
S0154,stable
S0155,noisy_false_flag_bait
S0156,stable
S0157,care_gap
S0158,stable
S0159,dropped_course
S0160,care_gap
S0161,care_gap
S0162,stable
S0163,stable
S0164,disconnecting
S0165,noisy_false_flag_bait
S0166,improving
S0167,dropped_course
S0168,stable
S0169,improving
S0170,disconnecting
S0171,stable
S0172,stable
S0173,stable
S0174,care_gap
S0175,stable
S0176,disconnecting
S0177,stable
S0178,dropped_course
S0179,improving
S0180,stable
S0181,care_gap
S0182,disconnecting
S0183,stable
S0184,stable
S0185,disconnecting
S0186,care_gap
S0187,dropped_course
S0188,dropped_course
S0189,stable
S0190,improving
S0191,stable
S0192,stable
S0193,stable
S0194,stable
S0195,stable
S0196,noisy_false_flag_bait
S0197,disconnecting
S0198,care_gap
S0199,improving
S0200,stable
S0201,disconnecting
S0202,care_gap
S0203,stable
S0204,care_gap
S0205,stable
S0206,disconnecting
S0207,noisy_false_flag_bait
S0208,disconnecting
S0209,stable
S0210,improving
S0211,care_gap
S0212,stable
S0213,stable
S0214,stable
S0215,stable
S0216,care_gap
S0217,care_gap
S0218,disconnecting
S0219,stable
S0220,stable
S0221,stable
S0222,care_gap
S0223,stable
S0224,stable
S0225,care_gap
S0226,improving
S0227,disconnecting
S0228,stable
S0229,stable
S0230,care_gap
S0231,stable
S0232,stable
S0233,stable
S0234,stable
S0235,stable
S0236,stable
S0237,stable
S0238,care_gap
S0239,care_gap
S0240,stable
S0241,stable
S0242,noisy_false_flag_bait
S0243,stable
S0244,stable
S0245,stable
S0246,care_gap
S0247,stable
S0248,stable
S0249,stable
S0250,noisy_false_flag_bait
S0251,improving
S0252,stable
S0253,stable
S0254,stable
S0255,disconnecting
S0256,care_gap
S0257,dropped_course
S0258,stable
S0259,disconnecting
S0260,noisy_false_flag_bait
S0261,stable
S0262,stable
S0263,stable
S0264,care_gap
S0265,stable
S0266,care_gap
S0267,care_gap
S0268,stable
S0269,disconnecting
S0270,stable
S0271,disconnecting
S0272,stable
S0273,care_gap
S0274,stable
S0275,improving
S0276,disconnecting
S0277,stable
S0278,noisy_false_flag_bait
S0279,disconnecting
S0280,stable
S0281,dropped_course
S0282,disconnecting
S0283,stable
S0284,stable
S0285,stable
S0286,stable
S0287,stable
S0288,stable
S0289,improving
S0290,disconnecting
S0291,stable
S0292,disconnecting
S0293,care_gap
S0294,disconnecting
S0295,improving
S0296,stable
S0297,care_gap
S0298,disconnecting
S0299,noisy_false_flag_bait
S0300,noisy_false_flag_bait
S0301,stable
S0302,stable
S0303,improving
S0304,stable
S0305,stable
S0306,improving
S0307,stable
S0308,improving
S0309,improving
S0310,improving
S0311,stable
S0312,stable
S0313,noisy_false_flag_bait
S0314,stable
S0315,stable
S0316,care_gap
S0317,stable
S0318,stable
S0319,stable
S0320,improving
S0321,stable
S0322,care_gap
S0323,stable
S0324,stable
S0325,disconnecting
S0326,improving
S0327,noisy_false_flag_bait
S0328,improving
S0329,stable
S0330,noisy_false_flag_bait
S0331,stable
S0332,stable
S0333,dropped_course
S0334,care_gap
S0335,stable
S0336,disconnecting
S0337,stable
S0338,disconnecting
S0339,dropped_course
S0340,stable
S0341,stable
S0342,dropped_course
S0343,stable
S0344,disconnecting
S0345,stable
S0346,noisy_false_flag_bait
S0347,stable
S0348,disconnecting
S0349,stable
S0350,stable
S0351,dropped_course
S0352,improving
S0353,disconnecting
S0354,disconnecting
S0355,disconnecting
S0356,disconnecting
S0357,stable
S0358,disconnecting
S0359,stable
S0360,care_gap
S0361,stable
S0362,disconnecting
S0363,stable
S0364,noisy_false_flag_bait
S0365,care_gap
S0366,stable
S0367,noisy_false_flag_bait
S0368,stable
S0369,stable
S0370,stable
S0371,disconnecting
S0372,stable
S0373,stable
S0374,dropped_course
S0375,disconnecting
S0376,disconnecting
S0377,stable
S0378,noisy_false_flag_bait
S0379,stable
S0380,stable
S0381,disconnecting
S0382,improving
S0383,improving
S0384,dropped_course
S0385,care_gap
S0386,stable
S0387,stable
S0388,disconnecting
S0389,stable
S0390,noisy_false_flag_bait
S0391,stable
S0392,stable
S0393,noisy_false_flag_bait
S0394,stable
S0395,disconnecting
S0396,stable
S0397,stable
S0398,disconnecting
S0399,stable
S0400,stable
S0401,disconnecting
S0402,stable
S0403,disconnecting
S0404,stable
S0405,stable
S0406,stable
S0407,care_gap
S0408,stable
S0409,noisy_false_flag_bait
S0410,stable
S0411,care_gap
S0412,dropped_course
S0413,stable
S0414,stable
S0415,stable
S0416,stable
S0417,improving
S0418,stable
S0419,stable
S0420,stable
S0421,stable
S0422,stable
S0423,stable
S0424,stable
S0425,improving
S0426,disconnecting
S0427,disconnecting
S0428,improving
S0429,improving
S0430,noisy_false_flag_bait
S0431,stable
S0432,stable
S0433,improving
S0434,stable
S0435,care_gap
S0436,disconnecting
S0437,stable
S0438,dropped_course
S0439,stable
S0440,stable
S0441,stable
S0442,stable
S0443,stable
S0444,care_gap
S0445,improving
S0446,care_gap
S0447,stable
S0448,stable
S0449,stable
S0450,stable
S0451,disconnecting
S0452,disconnecting
S0453,stable
S0454,stable
S0455,care_gap
S0456,stable
S0457,stable
S0458,stable
S0459,stable
S0460,stable
S0461,stable
S0462,improving
S0463,disconnecting
S0464,stable
S0465,noisy_false_flag_bait
S0466,improving
S0467,stable
S0468,stable
S0469,stable
S0470,stable
S0471,stable
S0472,disconnecting
S0473,stable
S0474,stable
S0475,stable
S0476,care_gap
S0477,stable
S0478,stable
S0479,care_gap
S0480,improving
S0481,stable
S0482,stable
S0483,disconnecting
S0484,stable
S0485,stable
S0486,stable
S0487,disconnecting
S0488,stable
S0489,stable
S0490,stable
S0491,noisy_false_flag_bait
S0492,improving
S0493,noisy_false_flag_bait
S0494,stable
S0495,noisy_false_flag_bait
S0496,stable
S0497,stable
S0498,care_gap
S0499,stable
S0500,stable
S0501,stable
S0502,dropped_course
S0503,stable
S0504,stable
S0505,improving
S0506,disconnecting
S0507,stable
S0508,noisy_false_flag_bait
S0509,stable
S0510,stable
S0511,stable
S0512,disconnecting
S0513,disconnecting
S0514,stable
S0515,care_gap
S0516,stable
S0517,noisy_false_flag_bait
S0518,care_gap
S0519,stable
S0520,noisy_false_flag_bait
S0521,dropped_course
S0522,disconnecting
S0523,stable
S0524,stable
S0525,improving
S0526,improving
S0527,improving
S0528,care_gap
S0529,stable
S0530,stable
S0531,improving
S0532,improving
S0533,stable
S0534,stable
S0535,stable
S0536,improving
S0537,care_gap
S0538,stable
S0539,care_gap
S0540,stable
S0541,stable
S0542,disconnecting
S0543,stable
S0544,stable
S0545,stable
S0546,stable
S0547,disconnecting
S0548,care_gap
S0549,stable
S0550,disconnecting
S0551,disconnecting
S0552,noisy_false_flag_bait
S0553,stable
S0554,disconnecting
S0555,care_gap
S0556,stable
S0557,care_gap
S0558,stable
S0559,improving
S0560,noisy_false_flag_bait
S0561,improving
S0562,stable
S0563,care_gap
S0564,dropped_course
S0565,noisy_false_flag_bait
S0566,stable
S0567,stable
S0568,improving
S0569,stable
S0570,improving
S0571,dropped_course
S0572,noisy_false_flag_bait
S0573,stable
S0574,care_gap
S0575,stable
S0576,disconnecting
S0577,stable
S0578,stable
S0579,stable
S0580,stable
S0581,disconnecting
S0582,disconnecting
S0583,stable
S0584,stable
S0585,noisy_false_flag_bait
S0586,stable
S0587,care_gap
S0588,stable
S0589,disconnecting
S0590,noisy_false_flag_bait
S0591,care_gap
S0592,disconnecting
S0593,disconnecting
S0594,stable
S0595,stable
S0596,stable
S0597,stable
S0598,care_gap
S0599,stable
S0600,stable
S0601,noisy_false_flag_bait
S0602,disconnecting
S0603,disconnecting
S0604,improving
S0605,care_gap
S0606,stable
S0607,stable
S0608,stable
S0609,stable
S0610,disconnecting
S0611,stable
S0612,disconnecting
S0613,improving
S0614,noisy_false_flag_bait
S0615,stable
S0616,stable
S0617,care_gap
S0618,stable
S0619,improving
S0620,stable
S0621,dropped_course
S0622,noisy_false_flag_bait
S0623,improving
S0624,disconnecting
S0625,stable
S0626,stable
S0627,stable
S0628,improving
S0629,improving
S0630,stable
S0631,disconnecting
S0632,disconnecting
S0633,improving
S0634,disconnecting
S0635,stable
S0636,stable
S0637,stable
S0638,stable
S0639,stable
S0640,care_gap
S0641,noisy_false_flag_bait
S0642,stable
S0643,stable
S0644,stable
S0645,stable
S0646,stable
S0647,improving
S0648,stable
S0649,noisy_false_flag_bait
S0650,improving
S0651,stable
S0652,noisy_false_flag_bait
S0653,stable
S0654,disconnecting
S0655,stable
S0656,stable
S0657,care_gap
S0658,stable
S0659,stable
S0660,stable
S0661,improving
S0662,stable
S0663,stable
S0664,care_gap
S0665,stable
S0666,stable
S0667,stable
S0668,stable
S0669,stable
S0670,disconnecting
S0671,care_gap
S0672,improving
S0673,disconnecting
S0674,care_gap
S0675,disconnecting
S0676,care_gap
S0677,stable
S0678,stable
S0679,stable
S0680,stable
S0681,stable
S0682,stable
S0683,improving
S0684,care_gap
S0685,disconnecting
S0686,disconnecting
S0687,stable
S0688,disconnecting
S0689,disconnecting
S0690,stable
S0691,noisy_false_flag_bait
S0692,care_gap
S0693,stable
S0694,stable
S0695,dropped_course
S0696,noisy_false_flag_bait
S0697,stable
S0698,stable
S0699,care_gap
S0700,improving
