gap_type,student_id,office,interaction_id,weeks_elapsed,confidence,leading_signal,reason
stale_open_referral,S0081,Counseling,C00073,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Counseling is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0122,Counseling,C00106,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Counseling is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0157,Financial Aid,C00129,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Financial Aid is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0161,Academic Advising,C00137,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Academic Advising is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0216,Financial Aid,C00191,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Financial Aid is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0235,Residential Life,C00212,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Residential Life is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0239,Academic Advising,C00217,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Academic Advising is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0266,Counseling,C00235,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Counseling is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0411,Financial Aid,C00342,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Financial Aid is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0476,Residential Life,C00388,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Residential Life is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0640,Dean of Students,C00523,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Dean of Students is still open 6 weeks later with no recorded resolution.
stale_open_referral,S0699,Dean of Students,C00567,6,High,"referral opened, no closure recorded",Referral opened in week 1 at Dean of Students is still open 6 weeks later with no recorded resolution.
unanswered_outreach_no_escalation,S0091,Counseling,C00082,6,High,"outreach unanswered, nothing after it","Outreach from Counseling in week 1 went unanswered, and no further contact of any kind is recorded since -- 6 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0428,Financial Aid,C00354,6,High,"outreach unanswered, nothing after it","Outreach from Financial Aid in week 1 went unanswered, and no further contact of any kind is recorded since -- 6 weeks of silence with no escalation."
unowned_handoff,S0202,Financial Aid,C00175,6,High,handoff logged with no named owner,Warm handoff at Financial Aid in week 1 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0204,Counseling,C00177,6,High,handoff logged with no named owner,Warm handoff at Counseling in week 1 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0256,Residential Life,C00226,6,High,handoff logged with no named owner,Warm handoff at Residential Life in week 1 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0444,Counseling,C00364,6,High,handoff logged with no named owner,Warm handoff at Counseling in week 1 has no owner assigned -- nobody on record is accountable for next contact.
uncoordinated_multi_office,S0081,Counseling + Residential Life,"C00073,C00070,C00072",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Counseling, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0122,Academic Advising + Counseling + Residential Life,"C00106,C00105,C00104",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Academic Advising, Counseling, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0141,Dean of Students + Financial Aid,"C00116,C00115",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0161,Academic Advising + Residential Life,"C00137,C00135",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0202,Academic Advising + Dean of Students + Financial Aid,"C00175,C00173,C00172",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Academic Advising, Dean of Students, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0204,Counseling + Dean of Students + Residential Life,"C00177,C00178,C00176",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Counseling, Dean of Students, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0216,Counseling + Dean of Students + Financial Aid,"C00191,C00189,C00192,C00190",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Counseling, Dean of Students, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0239,Academic Advising + Financial Aid,"C00217,C00216,C00218",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0256,Counseling + Residential Life,"C00226,C00227",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Counseling, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0444,Academic Advising + Counseling,"C00364,C00366",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Counseling) with no indication either office is aware of the other."
uncoordinated_multi_office,S0476,Financial Aid + Residential Life,"C00388,C00386,C00387",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Financial Aid, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0555,Dean of Students + Financial Aid,"C00578,C00457",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0664,Academic Advising + Residential Life,"C00539,C00538",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0699,Dean of Students + Financial Aid,"C00567,C00565",6,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Financial Aid) with no indication either office is aware of the other."
stale_open_referral,S0001,Financial Aid,C00001,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Financial Aid is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0020,Counseling,C00027,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Counseling is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0134,Financial Aid,C00110,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Financial Aid is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0174,Residential Life,C00147,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Residential Life is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0186,Financial Aid,C00158,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Financial Aid is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0198,Residential Life,C00167,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Residential Life is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0198,Financial Aid,C00168,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Financial Aid is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0264,Academic Advising,C00233,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Academic Advising is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0360,Academic Advising,C00312,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Academic Advising is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0515,Counseling,C00416,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Counseling is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0528,Dean of Students,C00431,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Dean of Students is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0587,Residential Life,C00480,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Residential Life is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0591,Counseling,C00482,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Counseling is still open 5 weeks later with no recorded resolution.
stale_open_referral,S0617,Academic Advising,C00500,5,High,"referral opened, no closure recorded",Referral opened in week 2 at Academic Advising is still open 5 weeks later with no recorded resolution.
unanswered_outreach_no_escalation,S0334,Counseling,C00293,5,High,"outreach unanswered, nothing after it","Outreach from Counseling in week 2 went unanswered, and no further contact of any kind is recorded since -- 5 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0513,Dean of Students,C00414,5,High,"outreach unanswered, nothing after it","Outreach from Dean of Students in week 2 went unanswered, and no further contact of any kind is recorded since -- 5 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0555,Dean of Students,C00457,5,High,"outreach unanswered, nothing after it","Outreach from Dean of Students in week 2 went unanswered, and no further contact of any kind is recorded since -- 5 weeks of silence with no escalation."
unowned_handoff,S0216,Counseling,C00189,5,High,handoff logged with no named owner,Warm handoff at Counseling in week 2 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0334,Residential Life,C00294,5,High,handoff logged with no named owner,Warm handoff at Residential Life in week 2 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0435,Counseling,C00361,5,High,handoff logged with no named owner,Warm handoff at Counseling in week 2 has no owner assigned -- nobody on record is accountable for next contact.
uncoordinated_multi_office,S0020,Counseling + Financial Aid,"C00027,C00024,C00025",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Counseling, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0036,Dean of Students + Financial Aid,"C00040,C00041",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0052,Dean of Students + Financial Aid + Residential Life,"C00051,C00052,C00053,C00050",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Dean of Students, Financial Aid, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0134,Academic Advising + Financial Aid,"C00111,C00110",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0160,Academic Advising + Residential Life,"C00131,C00133,C00132",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0198,Financial Aid + Residential Life,"C00167,C00168,C00165",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Financial Aid, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0238,Academic Advising + Dean of Students + Residential Life,"C00214,C00213,C00215",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Academic Advising, Dean of Students, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0264,Academic Advising + Financial Aid,"C00233,C00231",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0293,Financial Aid + Residential Life,"C00258,C00256,C00259",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Financial Aid, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0322,Counseling + Financial Aid,"C00282,C00283",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Counseling, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0334,Counseling + Residential Life,"C00294,C00293",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Counseling, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0360,Academic Advising + Dean of Students,"C00312,C00310",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Dean of Students) with no indication either office is aware of the other."
uncoordinated_multi_office,S0435,Academic Advising + Counseling,"C00361,C00363",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Counseling) with no indication either office is aware of the other."
uncoordinated_multi_office,S0528,Academic Advising + Dean of Students + Financial Aid,"C00431,C00430,C00432",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Academic Advising, Dean of Students, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0563,Dean of Students + Residential Life,"C00468,C00467",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0598,Dean of Students + Residential Life,"C00489,C00487,C00488",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0617,Academic Advising + Dean of Students,"C00500,C00502",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Dean of Students) with no indication either office is aware of the other."
uncoordinated_multi_office,S0671,Financial Aid + Residential Life,"C00541,C00542",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Financial Aid, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0674,Dean of Students + Residential Life,"C00548,C00549",5,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Residential Life) with no indication either office is aware of the other."
stale_open_referral,S0052,Dean of Students,C00052,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Dean of Students is still open 4 weeks later with no recorded resolution.
