gap_type,student_id,office,interaction_id,weeks_elapsed,confidence,leading_signal,reason
stale_open_referral,S0198,Residential Life,C00165,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Residential Life is still open 4 weeks later with no recorded resolution.
stale_open_referral,S0216,Financial Aid,C00192,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Financial Aid is still open 4 weeks later with no recorded resolution.
stale_open_referral,S0230,Financial Aid,C00210,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Financial Aid is still open 4 weeks later with no recorded resolution.
stale_open_referral,S0239,Financial Aid,C00216,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Financial Aid is still open 4 weeks later with no recorded resolution.
stale_open_referral,S0293,Financial Aid,C00256,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Financial Aid is still open 4 weeks later with no recorded resolution.
stale_open_referral,S0358,Dean of Students,C00308,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Dean of Students is still open 4 weeks later with no recorded resolution.
stale_open_referral,S0385,Dean of Students,C00328,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Dean of Students is still open 4 weeks later with no recorded resolution.
stale_open_referral,S0671,Residential Life,C00542,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Residential Life is still open 4 weeks later with no recorded resolution.
stale_open_referral,S0699,Financial Aid,C00565,4,High,"referral opened, no closure recorded",Referral opened in week 3 at Financial Aid is still open 4 weeks later with no recorded resolution.
unanswered_outreach_no_escalation,S0150,Dean of Students,C00124,4,High,"outreach unanswered, nothing after it","Outreach from Dean of Students in week 3 went unanswered, and no further contact of any kind is recorded since -- 4 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0167,Academic Advising,C00141,4,High,"outreach unanswered, nothing after it","Outreach from Academic Advising in week 3 went unanswered, and no further contact of any kind is recorded since -- 4 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0186,Financial Aid,C00157,4,High,"outreach unanswered, nothing after it","Outreach from Financial Aid in week 3 went unanswered, and no further contact of any kind is recorded since -- 4 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0216,Dean of Students,C00190,4,High,"outreach unanswered, nothing after it","Outreach from Dean of Students in week 3 went unanswered, and no further contact of any kind is recorded since -- 4 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0497,Residential Life,C00403,4,High,"outreach unanswered, nothing after it","Outreach from Residential Life in week 3 went unanswered, and no further contact of any kind is recorded since -- 4 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0601,Dean of Students,C00490,4,High,"outreach unanswered, nothing after it","Outreach from Dean of Students in week 3 went unanswered, and no further contact of any kind is recorded since -- 4 weeks of silence with no escalation."
unowned_handoff,S0211,Residential Life,C00185,4,High,handoff logged with no named owner,Warm handoff at Residential Life in week 3 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0476,Financial Aid,C00386,4,High,handoff logged with no named owner,Warm handoff at Financial Aid in week 3 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0537,Dean of Students,C00443,4,High,handoff logged with no named owner,Warm handoff at Dean of Students in week 3 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0605,Academic Advising,C00496,4,High,handoff logged with no named owner,Warm handoff at Academic Advising in week 3 has no owner assigned -- nobody on record is accountable for next contact.
uncoordinated_multi_office,S0211,Academic Advising + Residential Life,"C00185,C00186",4,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0222,Academic Advising + Counseling + Dean of Students + Residential Life,"C00199,C00198,C00200,C00201",4,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 4 different offices (Academic Advising, Counseling, Dean of Students, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0385,Academic Advising + Dean of Students,"C00326,C00328",4,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Dean of Students) with no indication either office is aware of the other."
uncoordinated_multi_office,S0407,Counseling + Financial Aid + Residential Life,"C00340,C00339,C00338,C00341",4,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Counseling, Financial Aid, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0455,Academic Advising + Counseling,"C00379,C00378",4,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Academic Advising, Counseling) with no indication either office is aware of the other."
uncoordinated_multi_office,S0537,Dean of Students + Residential Life,"C00443,C00442",4,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0605,Academic Advising + Counseling + Dean of Students,"C00496,C00493,C00495,C00494",4,High,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Academic Advising, Counseling, Dean of Students) with no indication either office is aware of the other."
unowned_handoff,S0027,Financial Aid,C00031,2,High,handoff logged with no named owner,Warm handoff at Financial Aid in week 5 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0052,Residential Life,C00050,2,High,handoff logged with no named owner,Warm handoff at Residential Life in week 5 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0061,Counseling,C00057,2,High,handoff logged with no named owner,Warm handoff at Counseling in week 5 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0157,Financial Aid,C00128,2,High,handoff logged with no named owner,Warm handoff at Financial Aid in week 5 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0563,Residential Life,C00467,2,High,handoff logged with no named owner,Warm handoff at Residential Life in week 5 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0574,Dean of Students,C00477,2,High,handoff logged with no named owner,Warm handoff at Dean of Students in week 5 has no owner assigned -- nobody on record is accountable for next contact.
stale_open_referral,S0020,Financial Aid,C00025,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Financial Aid is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0052,Dean of Students,C00053,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Dean of Students is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0069,Residential Life,C00065,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Residential Life is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0148,Dean of Students,C00123,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Dean of Students is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0174,Residential Life,C00146,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Residential Life is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0202,Academic Advising,C00173,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Academic Advising is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0222,Academic Advising,C00198,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Academic Advising is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0238,Dean of Students,C00213,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Dean of Students is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0239,Academic Advising,C00218,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Academic Advising is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0246,Academic Advising,C00219,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Academic Advising is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0344,Dean of Students,C00300,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Dean of Students is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0446,Dean of Students,C00371,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Dean of Students is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0498,Dean of Students,C00406,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Dean of Students is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0605,Counseling,C00493,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Counseling is still open 3 weeks later with no recorded resolution.
stale_open_referral,S0695,Financial Aid,C00564,3,Medium,"referral opened, no closure recorded",Referral opened in week 4 at Financial Aid is still open 3 weeks later with no recorded resolution.
unanswered_outreach_no_escalation,S0036,Financial Aid,C00041,3,Medium,"outreach unanswered, nothing after it","Outreach from Financial Aid in week 4 went unanswered, and no further contact of any kind is recorded since -- 3 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0085,Counseling,C00078,3,Medium,"outreach unanswered, nothing after it","Outreach from Counseling in week 4 went unanswered, and no further contact of any kind is recorded since -- 3 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0120,Academic Advising,C00098,3,Medium,"outreach unanswered, nothing after it","Outreach from Academic Advising in week 4 went unanswered, and no further contact of any kind is recorded since -- 3 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0256,Counseling,C00227,3,Medium,"outreach unanswered, nothing after it","Outreach from Counseling in week 4 went unanswered, and no further contact of any kind is recorded since -- 3 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0259,Financial Aid,C00230,3,Medium,"outreach unanswered, nothing after it","Outreach from Financial Aid in week 4 went unanswered, and no further contact of any kind is recorded since -- 3 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0297,Residential Life,C00264,3,Medium,"outreach unanswered, nothing after it","Outreach from Residential Life in week 4 went unanswered, and no further contact of any kind is recorded since -- 3 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0352,Academic Advising,C00304,3,Medium,"outreach unanswered, nothing after it","Outreach from Academic Advising in week 4 went unanswered, and no further contact of any kind is recorded since -- 3 weeks of silence with no escalation."
uncoordinated_multi_office,S0446,Dean of Students + Residential Life,"C00371,C00369",3,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0498,Academic Advising + Counseling + Dean of Students,"C00406,C00407,C00404,C00405",3,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Academic Advising, Counseling, Dean of Students) with no indication either office is aware of the other."
uncoordinated_multi_office,S0557,Dean of Students + Residential Life,"C00461,C00460",3,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Residential Life) with no indication either office is aware of the other."
unanswered_outreach_no_escalation,S0222,Dean of Students,C00200,2,Medium,"outreach unanswered, nothing after it","Outreach from Dean of Students in week 5 went unanswered, and no further contact of any kind is recorded since -- 2 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0227,Residential Life,C00208,2,Medium,"outreach unanswered, nothing after it","Outreach from Residential Life in week 5 went unanswered, and no further contact of any kind is recorded since -- 2 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0444,Academic Advising,C00366,2,Medium,"outreach unanswered, nothing after it","Outreach from Academic Advising in week 5 went unanswered, and no further contact of any kind is recorded since -- 2 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0547,Financial Aid,C00451,2,Medium,"outreach unanswered, nothing after it","Outreach from Financial Aid in week 5 went unanswered, and no further contact of any kind is recorded since -- 2 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0568,Academic Advising,C00472,2,Medium,"outreach unanswered, nothing after it","Outreach from Academic Advising in week 5 went unanswered, and no further contact of any kind is recorded since -- 2 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0598,Residential Life,C00488,2,Medium,"outreach unanswered, nothing after it","Outreach from Residential Life in week 5 went unanswered, and no further contact of any kind is recorded since -- 2 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0605,Counseling,C00495,2,Medium,"outreach unanswered, nothing after it","Outreach from Counseling in week 5 went unanswered, and no further contact of any kind is recorded since -- 2 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0605,Dean of Students,C00494,2,Medium,"outreach unanswered, nothing after it","Outreach from Dean of Students in week 5 went unanswered, and no further contact of any kind is recorded since -- 2 weeks of silence with no escalation."
unanswered_outreach_no_escalation,S0633,Dean of Students,C00518,2,Medium,"outreach unanswered, nothing after it","Outreach from Dean of Students in week 5 went unanswered, and no further contact of any kind is recorded since -- 2 weeks of silence with no escalation."
uncoordinated_multi_office,S0028,Counseling + Dean of Students + Financial Aid,"C00034,C00032,C00033",2,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 3 different offices (Counseling, Dean of Students, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0217,Dean of Students + Residential Life,"C00193,C00196,C00194",2,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Residential Life) with no indication either office is aware of the other."
uncoordinated_multi_office,S0365,Dean of Students + Residential Life,"C00314,C00315",2,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Residential Life) with no indication either office is aware of the other."
unowned_handoff,S0266,Counseling,C00236,1,Medium,handoff logged with no named owner,Warm handoff at Counseling in week 6 has no owner assigned -- nobody on record is accountable for next contact.
uncoordinated_multi_office,S0007,Counseling + Financial Aid,"C00011,C00009",1,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Counseling, Financial Aid) with no indication either office is aware of the other."
uncoordinated_multi_office,S0181,Counseling + Dean of Students,"C00156,C00155",1,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Counseling, Dean of Students) with no indication either office is aware of the other."
uncoordinated_multi_office,S0306,Dean of Students + Residential Life,"C00270,C00269",1,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Dean of Students, Residential Life) with no indication either office is aware of the other."
unowned_handoff,S0217,Residential Life,C00194,0,Medium,handoff logged with no named owner,Warm handoff at Residential Life in week 7 has no owner assigned -- nobody on record is accountable for next contact.
unowned_handoff,S0293,Residential Life,C00259,0,Medium,handoff logged with no named owner,Warm handoff at Residential Life in week 7 has no owner assigned -- nobody on record is accountable for next contact.
uncoordinated_multi_office,S0692,Counseling + Financial Aid,"C00563,C00561",0,Medium,concurrently active cases in unconnected offices,"Student has active, unresolved cases open simultaneously in 2 different offices (Counseling, Financial Aid) with no indication either office is aware of the other."
